geografi_kode,geografi_navn
102,Grønland
103,Enerhaugen
104,Nedre Tøyen
105,Kampen
106,Vålerenga
108,Kværnerbyen
109,Bispevika
110,Ensjø
111,Etterstad
201,Grünerløkka vest
202,Grünerløkka øst
203,Dælenenga
204,Rodeløkka
205,Sinsen
206,Sofienberg
208,Løren
209,Hasle
301,Iladalen
302,Sagene
303,Bjølsen
304,Sandaker
305,Torshov
401,Hammersborg
402,Bislett
403,Ila
404,Fagerborg
405,Lindern
501,Bygdøy
502,Frogner
503,Frognerparken
504,Majorstuen nord
505,Majorstuen syd
506,Homansbyen
507,Uranienborg
508,Skillebekk
601,Ullernåsen
602,Lilleaker
603,Ullern
604,Montebello-Hoff
605,Skøyen
701,Røa
702,Holmenkollen
703,Hovseter
704,Holmen
705,Slemdal
706,Grimelund
707,Vinderen
801,Disen
802,Myrer
803,Grefsen
804,Kjelsås
805,Korsvoll
806,Tåsen
807,Nordberg
808,Ullevål hageby
901,Veitvet
902,Linderud
904,Årvoll
905,Refstad
906,Ulven
1001,Ammerud
1002,Rødtvet
1003,Nordtvet
1004,Grorud
1005,Romsås
1101,Vestli
1102,Fossum
1103,Rommen
1104,Haugenstua
1105,Stovner
1106,Høybråten
1201,Furuset
1202,Ellingsrud
1203,Lindeberg
1204,Trosterud
1205,Hellerudtoppen
1206,Tveita
1207,Teisen
1301,Manglerud
1302,Godlia
1303,Oppsal
1304,Bøler
1305,Skullerud
1306,Abildsø
1401,Ljan
1402,Nordstrand
1403,Bekkelaget
1404,Simensbråten
1405,Lambertseter
1406,Munkerud
1501,Holmlia Syd
1502,Holmlia Nord
1503,Prinsdal
1504,Bjørnerud
1505,Mortensrud
1506,Bjørndal
1601,Sentrum
1701,Marka
9999,Uten registrert adresse
30101,Gamle Oslo
30102,Grünerløkka
30103,Sagene
30104,St.Hanshaugen
30105,Frogner
30106,Ullern
30107,Vestre Aker
30108,Nordre Aker
30109,Bjerke
30110,Grorud
30111,Stovner
30112,Alna
30113,Østensjø
30114,Nordstrand
30115,Søndre Nordstrand
30116,Sentrum
30117,Marka
30199,Uten registrert adresse
100000,Oslo i alt
